developer_id,account_age_days,total_commits,commits_last_90d,total_repos,pull_requests_merged,issues_closed,stars_received,languages_used,language_entropy,primary_language,framework_count,has_readme_pct,has_tests_pct,has_ci_pct,commit_message_avg_len,fork_to_original_ratio,languages_per_repo_avg,commit_trend_slope,activity_decay_lambda,years_active,has_bio,has_company,has_location,bio_length,avg_repo_size_kb,avg_repo_description_len,developer_dna_score,developer_tier,primary_language_encoded
andersenjill,3652,5741.0,522,323,190.0,168.0,1521.0,"Scala,Haskell,Go,PHP,Julia,Dart,Kotlin,SQL,TypeScript,Shell,JavaScript,Swift",3.585,Haskell,12,1.0,0.54,0.753,50,0.344,4.27,9.9025,-0.1844,10.0,1,1,1,26,1847,73,0.561,2,8
andreasnow,3427,2393.0,137,281,28.0,9.0,406.0,"HTML,Rust,C++,Julia,JavaScript,Dart,C#,Haskell,Go,Elixir",3.3219,C++,14,0.805,0.781,0.759,73,0.409,3.21,-0.4895,0.1195,9.38,1,0,1,44,1293,39,0.3907,1,2
dev_6439,2675,159.0,5,11,2.0,1.0,31.0,"SQL,CSS,R,Ruby,Dart,Haskell,Swift",2.8074,Ruby,11,0.0,0.093,0.308,49,0.509,2.61,-4.0833,0.0554,7.32,0,0,0,0,5,12,0.2799,1,17
williampowers,1304,74.0,1,27,1.0,1.0,47.0,"JavaScript,SQL,Kotlin,CSS",2.0,SQL,3,0.383,0.388,0.406,38,0.353,2.22,-4.7217,-0.0807,3.57,0,0,1,0,178,9,0.3068,1,19
daniel72,2095,1270.0,288,8,26.0,16.0,441.0,"Scala,CSS,Lua,Swift,Rust,C++,Julia,Kotlin,Python,Java,Elixir",3.4594,Scala,10,0.574,0.676,0.699,37,0.438,3.97,1.8833,-0.0613,5.74,0,0,1,0,870,52,0.4676,2,20
dev_5546,30,32.0,6,9,0.0,0.0,15.0,"CSS,Scala,Lua,PHP,Rust,Dart,SQL,Go",3.0,CSS,2,0.408,0.671,0.0,3,0.209,1.36,-0.8424,0.0709,0.1,0,0,0,0,38,64,0.2306,0,3
dev_4592,5032,1435.0,229,16,138.0,242.0,103.0,"Scala,Lua,R,HTML,C++,Rust,PHP,Ruby,Haskell,Java,Dart,Kotlin,SQL,JavaScript",3.8074,HTML,13,0.828,1.0,0.664,77,0.813,4.58,1.1245,0.0555,13.78,1,0,1,134,5953,82,0.5509,2,7
cassielawrence,723,102.0,8,36,6.0,2.0,4.0,"Haskell,Dart,C++",1.585,C++,0,0.447,0.388,0.123,31,0.663,1.54,-0.2333,0.1084,1.98,0,0,0,0,29,43,0.2095,0,2
ronaldadams,1860,72.0,6,13,9.0,2.0,146.0,"PHP,Dart,C#,SQL,Elixir",2.3219,C#,1,0.341,0.213,0.393,49,0.408,0.55,2.6422,0.2964,5.09,0,0,0,0,138,57,0.2126,0,1
dev_5345,1471,72.0,16,11,6.0,2.0,71.0,"CSS,HTML,C++,Ruby,Kotlin",2.3219,Kotlin,9,0.194,0.283,0.468,42,0.227,2.8,1.4847,0.2335,4.03,0,0,0,0,95,34,0.262,1,12
dev_8949,1911,188.0,35,4,4.0,3.0,28.0,"Scala,C,Dart,Python",2.0,Python,4,0.463,0.094,0.039,3,0.525,1.13,6.3046,0.1808,5.23,1,0,0,109,129,43,0.2447,0,15
coopermichael,1402,441.0,77,102,25.0,22.0,10.0,"CSS,PHP,Python,C,Haskell,Go",2.585,Python,3,0.281,0.436,0.386,58,0.708,1.7,-3.9839,-0.0695,3.84,1,0,0,115,581,50,0.3197,1,15
dev_2516,1949,182.0,18,47,179.0,89.0,65.0,"Scala,HTML,Ruby,Dart,C,Swift",2.585,Swift,4,0.651,0.496,0.432,81,0.659,1.68,4.6981,-0.0351,5.34,1,1,1,43,264,64,0.4174,1,22
dev_5161,890,77.0,19,4,1.0,1.0,2.0,"C,C#,Rust,Swift",2.0,Rust,1,0.0,0.046,0.075,3,0.424,1.59,-1.9567,0.1919,2.44,1,0,0,92,11,12,0.1783,0,18
aprildixon,1472,1069.0,121,202,85.0,19.0,287.0,"C++,C#,Kotlin,C,Python,SQL,TypeScript,Shell,JavaScript,Swift",3.3219,TypeScript,6,0.732,0.768,0.183,15,0.421,1.22,-1.3355,0.0994,4.03,1,0,1,32,876,92,0.3554,1,23
jessicasmith,1538,65.0,5,14,1.0,0.0,39.0,"R,PHP,Python,Haskell,Go,Swift",2.585,Swift,0,0.128,0.503,0.075,25,0.406,1.44,5.6488,0.1167,4.21,1,1,1,41,461,0,0.2737,1,22
pam89,1103,3928.0,421,7,27.0,2.0,10.0,"Rust,Julia,Java,Dart,SQL,TypeScript,Go",2.8074,SQL,5,0.305,0.254,0.587,35,0.624,0.9,-0.155,0.0046,3.02,1,1,0,134,131,67,0.3309,1,19
robertwilliams,2435,695.0,120,245,96.0,62.0,27.0,"Lua,HTML,PHP,C++,Dart,C#,SQL,Shell,Elixir",3.1699,C#,10,0.597,0.477,0.506,56,0.599,3.59,0.3396,0.0918,6.67,1,1,0,47,2472,72,0.3849,2,1
dev_7230,3162,282.0,34,34,23.0,0.0,191.0,"HTML,Julia,JavaScript,Dart,Python,Kotlin,SQL,TypeScript,Java,Elixir",3.3219,SQL,7,0.609,0.409,0.422,50,0.434,2.87,2.7204,0.0869,8.66,0,1,1,0,407,71,0.3686,1,19
dev_5023,2254,67.0,6,129,123.0,59.0,677.0,"HTML,PHP,R,Elixir,Shell,Swift",2.585,Elixir,9,1.0,0.165,0.669,84,0.904,3.15,0.9163,0.0185,6.17,0,0,0,0,796,32,0.4258,2,5
dev_9227,2273,134.0,15,480,15.0,8.0,291.0,"CSS,PHP,C++,Ruby,Julia,C#,SQL,Shell",3.0,CSS,5,0.627,0.728,0.108,28,0.612,1.74,-0.1149,0.1403,6.22,0,1,1,0,89,59,0.3586,2,3
lindsey57,2899,249.0,42,79,118.0,122.0,42.0,"CSS,PHP,Rust,JavaScript,Python,Go",2.585,CSS,6,0.413,0.388,0.464,62,0.592,2.4,8.2944,-0.3,7.94,1,1,0,130,790,86,0.3505,1,3
dev_2219,1582,450.0,45,50,16.0,6.0,24.0,"Scala,C++,Julia,Kotlin,SQL,JavaScript",2.585,Scala,10,0.305,0.593,0.552,88,0.683,1.16,6.8114,-0.1072,4.33,1,0,1,138,969,53,0.3773,1,20
dev_5996,299,4.0,0,2,1.0,0.0,4.0,Shell,0.0,Shell,0,0.097,0.012,0.157,3,0.088,0.5,-1.0106,0.1464,0.82,0,1,0,0,16,0,0.0607,0,21
raymondjackson,2476,283.0,45,14,50.0,29.0,21.0,"Julia,C,Java,Kotlin",2.0,Java,13,0.818,0.457,0.293,32,0.395,2.74,2.3388,0.1037,6.78,1,1,0,85,98,26,0.3206,1,9
john91,2420,21.0,2,8,1.0,1.0,544.0,"Scala,Rust,Java,Dart,Python,Go,Elixir",2.8074,Rust,0,0.442,0.334,0.587,16,0.364,0.82,-4.2593,0.1161,6.63,1,0,0,107,77,0,0.2593,0,18
michael79,1639,521.0,119,1,5.0,1.0,18.0,"SQL,CSS,HTML,Rust,Julia,C#,Kotlin,Haskell,TypeScript,Java",3.3219,Rust,0,0.067,0.631,0.285,45,0.501,2.13,0.2327,-0.2379,4.49,1,1,1,125,537,60,0.3322,1,18
dev_6872,1390,3102.0,503,76,323.0,318.0,111.0,"SQL,PHP,Rust,JavaScript,Python,Haskell,TypeScript,Go",3.0,TypeScript,9,1.0,0.348,0.305,63,0.486,1.89,0.4636,-0.1648,3.81,0,0,0,0,272,65,0.4204,1,23
guzmantheresa,3974,518.0,40,106,344.0,227.0,404.0,"SQL,CSS,Swift,HTML,Lua,Julia,Dart,Kotlin,C,Haskell,TypeScript,Shell,JavaScript,Elixir",3.8074,Julia,14,0.822,0.719,0.557,87,1.0,2.54,2.3331,-0.1326,10.88,1,1,1,121,4526,31,0.5274,2,11
dennisrichmond,174,579.0,27,114,8.0,7.0,1.0,"Ruby,Lua,Shell",1.585,Shell,9,0.433,0.473,0.062,3,0.381,1.9,1.0275,0.1501,0.48,0,0,1,0,174,47,0.2567,1,21
jose72,2427,2430.0,325,220,99.0,82.0,536.0,"PHP,Rust,Haskell,Ruby,C#,Python,Elixir,SQL,Shell,JavaScript,Swift",3.4594,PHP,6,0.392,0.501,0.723,84,0.535,3.58,3.6447,-0.0471,6.64,0,0,0,0,346,76,0.4569,2,14
angela92,30,523.0,38,7,3.0,1.0,16.0,"HTML,R,Rust,Python,Shell,Go",2.585,R,3,0.646,0.0,0.57,10,0.581,1.54,0.1588,-0.0326,0.1,1,0,0,112,41,2,0.2679,2,16
william84,1537,262.0,38,5,50.0,21.0,21.0,CSS,0.0,CSS,0,0.139,0.433,0.0,3,0.472,2.59,-3.0794,0.2424,4.21,0,1,0,0,55,11,0.1518,0,3
laurie47,1134,97.0,10,20,14.0,15.0,47.0,"SQL,CSS,R,C#",2.0,C#,4,0.698,0.137,0.188,3,0.295,1.54,4.226,-0.0252,3.1,1,0,1,119,193,19,0.2689,0,1
kayla52,2027,2688.0,9,17,3.0,1.0,23.0,"PHP,C#,Python,Kotlin",2.0,C#,7,0.628,0.0,0.435,58,0.334,1.41,-0.9995,-0.0352,5.55,0,0,1,0,173,45,0.2449,1,1
dev_4435,1159,74.0,10,2,20.0,28.0,17.0,"JavaScript,Kotlin",1.0,Kotlin,1,0.512,0.338,0.0,10,0.141,2.84,0.6823,0.1918,3.17,0,0,0,0,47,71,0.1679,0,12
dev_5167,1210,84.0,10,7,3.0,1.0,22.0,"CSS,PHP",1.0,PHP,3,0.089,0.0,0.272,28,0.249,2.39,-3.26,0.1795,3.31,0,0,0,0,215,72,0.0951,0,14
dev_1547,2802,57.0,3,8,27.0,24.0,83.0,"Scala,Java,Swift",1.585,Scala,10,0.742,0.258,0.621,13,0.13,2.33,3.0499,0.0247,7.67,1,1,1,70,844,70,0.3322,1,20
dev_1653,30,46.0,7,18,39.0,38.0,61.0,Dart,0.0,Dart,7,0.263,0.783,0.001,33,0.56,0.5,5.5602,0.185,0.1,1,0,0,106,100,24,0.1769,0,4
dev_6199,2582,36.0,2,10,3.0,0.0,26.0,Scala,0.0,Scala,0,0.0,0.072,0.329,44,0.453,0.57,-0.9767,0.0296,7.07,0,0,0,0,28,52,0.0941,0,20
cmassey,1597,335.0,42,24,67.0,41.0,160.0,"HTML,Rust,Java,C#,C,Haskell,TypeScript,Go",3.0,Rust,12,1.0,0.185,0.501,72,0.459,2.85,2.0705,-0.1216,4.37,1,0,1,96,667,69,0.3627,2,18
nancy10,933,730.0,55,8,10.0,17.0,767.0,"Scala,R",1.0,R,9,0.239,0.196,0.396,48,0.342,2.57,5.4537,0.1053,2.55,0,0,1,0,567,93,0.1943,1,16
dev_484,2099,171.0,36,18,2.0,1.0,23.0,Ruby,0.0,Ruby,2,0.424,0.015,0.12,31,0.01,2.28,0.645,0.1345,5.75,1,0,0,66,141,38,0.0952,0,17
sarah29,4023,1746.0,264,3,89.0,26.0,231.0,"Scala,CSS,HTML,R,C++,PHP,Ruby,Dart,C#,C,Python,Haskell,Shell,Go",3.8074,Haskell,10,0.611,0.325,0.406,55,0.878,2.88,2.7694,0.0111,11.01,0,1,0,0,892,17,0.4068,1,8
joseph75,1227,37.0,5,1,10.0,12.0,35.0,"CSS,PHP,Ruby,C,Python",2.3219,PHP,5,0.478,0.414,0.481,56,0.01,2.02,-3.66,0.2298,3.36,0,0,1,0,92,38,0.2769,0,14
dev_9976,3357,786.0,31,34,66.0,52.0,1753.0,"CSS,Scala,C++,Ruby,Python,TypeScript",2.585,TypeScript,11,0.651,1.0,0.164,56,0.763,2.43,1.6514,0.0791,9.19,0,0,1,0,104,82,0.3971,2,23
bandrews,2092,3433.0,716,160,14.0,32.0,233.0,"TypeScript,HTML,Rust,Swift",2.0,TypeScript,9,0.676,0.434,0.397,60,0.727,2.05,0.9704,-0.0567,5.73,1,0,1,107,1589,50,0.3656,1,23
greg73,2439,891.0,91,28,110.0,6.0,80.0,"Scala,Lua,Go,Julia,Java,C#,C,JavaScript",3.0,C,10,0.663,0.161,0.233,39,0.615,1.51,7.0391,0.03,6.68,1,0,1,103,60,58,0.3791,1,0
wjones,1917,638.0,88,21,37.0,48.0,26.0,"SQL,HTML,Ruby,Dart,C,Kotlin,Haskell,Java",3.0,C,9,1.0,0.393,0.0,8,0.317,3.09,8.8457,-0.0035,5.25,0,0,1,0,476,52,0.3807,1,0
clarkrobert,30,15.0,0,1,0.0,0.0,18.0,Elixir,0.0,Elixir,0,0.0,0.0,0.0,31,0.24,0.62,-4.7695,0.0596,0.1,0,0,1,0,15,0,0.028,0,5
dev_6301,2439,486.0,108,10,78.0,90.0,5.0,"CSS,Lua,R,Scala,Julia,Python,C,Elixir,Haskell,JavaScript,Swift",3.4594,C,10,0.708,0.261,0.684,84,0.538,2.49,3.5587,-0.076,6.68,1,0,1,61,571,73,0.4803,2,0
sherri95,4176,22118.350000000006,4776,177,229.0,199.0,6849.0,"Scala,Lua,HTML,Haskell,Rust,Ruby,C#,Python,SQL,TypeScript,Shell,Java,Elixir",3.7004,Shell,8,0.849,0.619,1.0,59,0.705,3.21,11.0387,-0.0601,11.43,1,1,1,99,3670,91,0.7044,2,21
patricklee,1782,270.0,55,3,2.0,0.0,67.0,"Lua,R,Rust,Dart,Kotlin,Haskell,Elixir",2.8074,R,10,0.191,0.236,0.265,14,0.319,2.96,4.3104,0.2104,4.88,0,0,1,0,146,82,0.1996,0,16
ljackson,30,8.0,2,6,3.0,3.0,17.0,R,0.0,R,3,0.161,0.213,0.0,43,0.381,1.17,-5.5943,0.2853,0.1,0,0,0,0,57,0,0.0927,0,16
susan68,4528,2166.0,395,60,669.0,1037.0,692.0,"SQL,Scala,Swift,HTML,PHP,C++,Lua,Ruby,Julia,Java,C,Python,Haskell,Shell,Go,Elixir",4.0,Go,13,0.66,0.926,0.807,57,0.775,2.79,5.9002,0.0589,12.4,1,0,1,18,3472,120,0.5697,2,6
cherylanderson,428,88.0,17,6,2.0,0.0,4.0,Go,0.0,Go,0,0.0,0.0,0.411,31,0.068,0.69,6.1258,0.4107,1.17,0,0,0,0,30,1,0.092,0,6
mboyd,2869,8828.0,241,16,417.0,190.0,664.0,"Scala,CSS,R,PHP,Rust,Ruby,JavaScript,Haskell,Shell,Java,Elixir",3.4594,Java,13,0.39,0.776,0.577,83,0.672,2.81,8.8052,-0.1999,7.85,1,1,1,80,1003,132,0.4928,2,9
lauren36,2176,1166.0,298,49,85.0,127.0,167.0,"PHP,Rust,C++,Julia,JavaScript,C#,Python,C,Kotlin,Java",3.3219,Kotlin,13,0.897,0.532,0.866,62,0.861,2.53,5.9701,-0.0061,5.96,1,1,1,120,3513,54,0.4558,2,12
dev_7874,844,98.0,2,51,113.0,90.0,6.0,"Scala,R,Rust,Julia,JavaScript",2.3219,Rust,4,0.775,0.0,0.394,38,0.59,1.52,5.5153,0.0503,2.31,1,0,0,60,127,63,0.2722,1,18
jbray,1033,49.0,14,11,25.0,7.0,6.0,PHP,0.0,PHP,5,0.021,0.301,0.076,16,0.01,1.66,-2.0638,0.0787,2.83,0,0,0,0,28,48,0.0818,0,14
lisa67,1206,170.0,19,8,30.0,45.0,11.0,"HTML,R,C#,Python,TypeScript,Elixir",2.585,TypeScript,1,0.433,0.091,0.212,41,0.656,0.5,-2.4904,0.2214,3.3,1,0,1,93,278,0,0.1816,0,23
michael58,30,528.0,18,2,7.0,9.0,6.0,"CSS,Lua,HTML,R,C#,Elixir",2.585,R,10,0.611,0.328,0.624,35,0.412,1.13,3.5067,0.2619,0.1,1,1,0,77,103,11,0.3254,1,16
christopher43,2795,1509.0,155,214,120.0,51.0,3259.0,"CSS,Lua,HTML,PHP,Rust,Scala,R,C#,Python,Kotlin,SQL,Shell,Swift",3.7004,Swift,14,0.476,0.983,1.0,50,0.827,2.96,3.8259,-0.0879,7.65,1,1,1,113,18801,42,0.5572,2,22
charles47,2466,841.0,30,35,30.0,25.0,4216.0,"HTML,Haskell,Go,R,Java,C#,C,SQL,TypeScript,Shell,JavaScript,Swift",3.585,Shell,12,0.722,0.545,0.444,52,0.826,4.81,7.5211,-0.1419,6.75,0,0,1,0,21380,104,0.5455,2,21
dev_6726,2933,111.0,10,179,62.0,69.0,43.0,"Scala,HTML,R,Go,Ruby,C#,Python,SQL,Shell,Java",3.3219,SQL,10,0.691,0.674,0.541,3,0.488,2.21,2.9054,-0.0069,8.03,1,0,0,26,504,0,0.4454,2,19
sheltonmark,2260,868.0,66,16,123.0,100.0,1614.0,"Lua,R,HTML,Rust,JavaScript,Python,Haskell,Shell,Java,Swift",3.3219,Swift,10,0.62,0.31,0.323,73,0.805,3.74,4.0632,0.0469,6.19,1,0,1,78,1102,72,0.3954,2,22
browneric,3251,1060.0,143,47,48.0,88.0,43.0,"CSS,R,Ruby,C#,Kotlin,Shell,Go,Swift",3.0,Go,11,0.837,0.243,0.606,74,0.926,1.77,3.103,-0.1259,8.9,0,0,1,0,2202,78,0.3904,1,6
jared33,1944,105.0,9,30,4.0,1.0,893.0,"HTML,Java,C#,Python,Haskell,JavaScript",2.585,HTML,6,0.468,0.516,0.425,59,0.594,2.27,5.3328,-0.0128,5.32,0,0,0,0,1344,61,0.3546,1,7
paul35,30,16.0,0,7,0.0,0.0,7.0,TypeScript,0.0,TypeScript,0,0.333,0.107,0.0,3,0.567,1.58,-2.976,0.1679,0.1,0,0,0,0,26,60,0.0986,0,23
kimberlybrewer,2633,6864.0,1406,242,76.0,19.0,232.0,"CSS,Lua,PHP,Julia,Dart,C#,Python,SQL,Elixir",3.1699,CSS,9,0.863,0.765,0.864,71,0.725,2.44,8.3119,-0.0114,7.21,0,0,1,0,1283,108,0.5048,2,3
dev_6689,3180,685.0,29,800,203.0,102.0,105.0,"SQL,R,PHP,C++,Java,Kotlin,C,Haskell,JavaScript,Elixir",3.3219,PHP,9,0.963,0.295,0.581,93,0.903,4.36,3.7412,-0.127,8.71,0,0,0,0,508,65,0.5204,2,14
michele36,2016,227.0,9,50,16.0,7.0,1253.0,"Scala,Lua,Rust,Ruby,Python,C,Kotlin,Haskell,Go",3.1699,Go,9,0.73,0.485,0.018,65,0.751,2.73,0.9283,0.1361,5.52,0,0,1,0,561,82,0.3731,1,6
thompsonshannon,2262,21265.0,3103,64,1318.0,1576.0,1048.0,"R,C++,Julia,JavaScript,Dart,C#,Python,C,Shell,Go",3.3219,JavaScript,9,1.0,0.791,0.982,105,1.0,2.93,14.0,-0.0405,6.19,0,0,1,0,1942,94,0.6555,2,10
nicole67,52,84.0,8,8,22.0,24.0,41.0,"Go,TypeScript,C++",1.585,C++,5,0.38,0.152,0.455,44,0.01,0.5,5.392,-0.0156,0.14,0,0,0,0,120,19,0.113,0,2
carl98,30,28.0,3,18,2.0,2.0,207.0,JavaScript,0.0,JavaScript,3,0.587,0.112,0.0,61,0.01,1.34,-0.444,0.3103,0.1,1,0,0,70,28,8,0.1256,0,10
dev_2563,2450,531.0,49,25,381.0,145.0,615.0,"CSS,Ruby,Julia,Shell,Swift",2.3219,Swift,12,0.876,0.649,0.471,44,0.651,3.42,2.2148,-0.0751,6.71,1,0,1,124,434,112,0.3873,1,22
dev_3176,1208,88.0,22,21,15.0,23.0,20.0,"Haskell,Dart,PHP,Elixir",2.0,Dart,4,0.112,0.307,0.438,12,0.233,2.0,2.2102,0.0415,3.31,1,0,1,50,69,86,0.2102,1,4
stephen76,4563,17728.0,932,107,52.0,61.0,2829.0,"CSS,Lua,R,Scala,C++,Ruby,Julia,C#,C,Kotlin,TypeScript,Java,Swift",3.7004,C++,8,0.7,0.499,0.665,77,0.978,3.47,9.8686,0.0592,12.49,1,0,0,30,3735,96,0.6198,2,2
joel75,3953,2236.0,357,98,74.0,5.0,152.0,"CSS,Lua,R,PHP,C++,Ruby,Shell,JavaScript,Swift",3.1699,JavaScript,10,0.965,0.45,0.29,80,0.538,2.88,3.8819,-0.1631,10.82,1,0,1,85,1362,104,0.4282,2,10
erikalee,4599,865.0,124,478,1880.0,1941.050000000001,484.0,"Scala,Lua,HTML,PHP,C++,Rust,Ruby,Dart,Python,C,Elixir,Kotlin,SQL,Java,Swift",3.9069,Dart,15,0.697,0.847,0.644,78,0.906,2.79,1.1129,-0.1589,12.59,1,0,1,100,9876,138,0.5874,2,4
gregory81,2522,298.0,35,9,131.0,72.0,363.0,"CSS,PHP,C++,Julia,Dart,TypeScript,JavaScript",2.8074,PHP,7,0.529,0.407,0.739,31,0.294,1.73,1.4004,-0.0078,6.9,0,0,0,0,206,119,0.3486,1,14
stephanie19,2343,108.0,5,16,9.0,13.0,87.0,"Lua,Shell,Rust,Swift",2.0,Shell,12,0.25,0.341,0.598,35,0.424,2.39,2.0974,-0.0049,6.41,0,0,0,0,32,51,0.2717,1,21
dev_6916,3659,2104.0,788,154,544.0,487.0,296.0,"Lua,HTML,Haskell,Julia,JavaScript,Dart,Python,SQL,Shell,Go,Swift",3.4594,Julia,10,1.0,0.454,0.864,81,0.895,3.23,2.3188,-0.0317,10.02,1,1,1,89,3419,90,0.5104,2,11
roy58,1748,116.0,30,45,120.0,85.0,57.0,"R,HTML,C++,Rust,JavaScript,Dart,C#,Elixir,TypeScript,Java,Swift",3.4594,Rust,9,0.671,0.152,0.593,42,0.718,3.88,-1.8365,0.1826,4.79,1,0,1,53,128,23,0.4137,1,18
hermanmichelle,30,9.0,1,4,0.0,0.0,1.0,Julia,0.0,Julia,0,0.0,0.087,0.186,13,0.04,0.79,1.4367,0.3135,0.1,0,0,1,0,9,50,0.088,0,11
lopezkristen,30,3.0,0,36,7.0,0.0,51.0,"C#,Kotlin,Elixir,Shell,Swift",2.3219,Elixir,4,0.403,0.34,0.0,24,0.17,2.2,-0.7228,-0.0492,0.1,0,0,0,0,21,6,0.2052,0,5
cynthia47,409,152.0,19,11,2.0,0.0,91.0,"PHP,Ruby,Shell,JavaScript,Elixir",2.3219,Shell,2,0.0,0.0,0.0,53,0.373,1.2,-0.9952,0.1387,1.12,0,0,1,0,14,0,0.156,0,21
dev_9611,3088,1966.0,129,101,39.0,39.0,77.0,"R,Haskell,HTML,Java,Dart,C,Kotlin,SQL,Go",3.1699,C,7,0.576,0.723,0.773,29,0.593,3.19,0.1395,-0.0754,8.45,1,1,0,11,124,54,0.4176,2,0
dev_5360,1247,241.0,27,65,2.0,2.0,4870.0,"Julia,Scala,HTML",1.585,HTML,0,0.617,0.628,0.114,55,0.763,2.35,0.1955,0.1209,3.41,1,1,0,94,113,53,0.2694,1,7
dev_6985,3012,6259.0,980,184,53.0,18.0,90.0,"Lua,Julia,TypeScript,Shell,Elixir",2.3219,TypeScript,13,0.877,0.42,0.749,77,0.677,3.31,5.7478,-0.0799,8.25,1,1,1,72,1378,60,0.4293,2,23
taylor27,120,178.0,19,19,94.0,20.0,257.0,"CSS,HTML,Julia,Python,SQL,TypeScript,Swift",2.8074,SQL,8,0.388,0.94,0.312,37,0.292,2.01,-1.2341,0.241,0.33,1,0,0,30,92,56,0.3482,1,19
dev_7201,101,220.0,30,1,4.0,2.0,2.0,"Scala,PHP,C",1.585,C,1,0.387,0.249,0.26,15,0.405,2.4,2.3131,0.1501,0.28,1,0,1,70,5,46,0.188,0,0
dev_8821,30,51.0,15,2,5.0,3.0,4.0,SQL,0.0,SQL,5,0.117,0.147,0.065,33,0.069,1.39,-2.928,0.2135,0.1,1,0,0,124,18,0,0.0676,0,19
sheila52,545,267.0,117,24,435.0,557.0,127.0,"CSS,Scala,HTML,R,Ruby,Julia,Java",2.8074,HTML,13,0.408,0.594,0.544,44,0.416,2.58,2.1513,0.0827,1.49,0,0,1,0,551,66,0.4281,1,7
dev_9255,5087,382.0,47,31,2.0,0.0,278.0,"CSS,Lua,HTML,C++,Ruby,Dart,C#,C,Kotlin,TypeScript,Go",3.4594,CSS,10,0.458,0.287,0.21,50,0.715,3.66,6.6674,-0.0309,13.93,1,1,0,17,45,26,0.4249,2,3
dev_5461,30,1.0,0,21,1.0,0.0,29.0,Elixir,0.0,Elixir,1,0.218,0.018,0.0,11,0.23,1.51,0.6435,0.1797,0.1,0,0,0,0,50,0,0.0264,0,5
dev_5587,3811,3629.0,1225,194,98.0,0.0,749.0,"CSS,R,Rust,Ruby,Julia,Dart,C#,C,SQL,Shell,Elixir",3.4594,Elixir,12,0.781,0.154,0.899,71,0.688,3.83,-0.0083,-0.1028,10.43,1,1,0,65,550,18,0.4765,2,5
dev_282,1616,28.0,4,14,8.0,1.0,40.0,"Scala,R,PHP,Ruby,Elixir,Swift",2.585,PHP,11,0.0,0.443,0.138,15,0.414,2.22,-0.6177,0.0337,4.42,1,0,1,106,604,36,0.2653,1,14
dev_2334,4440,3244.0,335,10,79.0,88.0,616.0,"Scala,Lua,HTML,Haskell,Rust,R,Julia,Kotlin,SQL,TypeScript",3.3219,SQL,15,0.893,0.365,0.253,79,0.495,3.21,6.9965,-0.0576,12.16,1,0,1,47,1625,61,0.4454,2,19
samuel87,376,236.0,68,4,4.0,4.0,269.0,"CSS,C++,C,Shell,JavaScript",2.3219,CSS,4,0.156,0.178,0.473,47,0.237,2.92,-1.889,0.1014,1.03,1,1,0,79,276,41,0.2173,1,3
joshua87,4194,6468.0,1211,173,541.0,556.0,2599.0,"CSS,HTML,PHP,R,Rust,Julia,C#,Python,Elixir,Swift",3.3219,C#,13,0.817,0.905,0.738,64,1.0,4.3,9.7168,-0.0286,11.48,0,0,1,0,2309,129,0.6012,2,1
juan82,1829,2955.0,25,13,8.0,7.0,376.0,"Scala,Lua,R,HTML,Julia,Kotlin,Python,Elixir,C,Haskell,JavaScript,Swift",3.585,Elixir,8,0.486,0.397,0.303,47,0.389,2.86,3.8632,-0.1114,5.01,1,0,0,132,41,46,0.3887,2,5
rachel14,708,65.0,13,2,0.0,0.0,7.0,Lua,0.0,Lua,0,0.0,0.342,0.239,3,0.445,0.7,-1.827,0.0887,1.94,0,0,0,0,27,0,0.0471,1,13
michael92,623,28.0,5,21,7.0,2.0,13.0,"Scala,Rust,C#,C,Swift",2.3219,Scala,0,0.253,0.409,0.234,53,0.461,1.36,-0.1352,0.0978,1.71,1,0,1,120,923,1,0.2406,0,20
dev_455,265,4.0,0,4,4.0,4.0,8.0,"Go,JavaScript,C++,Swift",2.0,Swift,1,0.745,0.0,0.0,18,0.497,0.97,-3.9603,0.1712,0.73,0,0,1,0,11,1,0.2116,0,22
diana48,4130,13653.0,731,170,296.0,394.0,1544.0,"Scala,Swift,PHP,Java,Go,Elixir",2.585,Scala,11,0.931,1.0,1.0,34,0.515,3.58,7.9366,-0.2058,11.31,0,1,1,0,1392,55,0.5249,2,20
mariaanderson,3377,626.0,24,96,42.0,6.0,825.0,"CSS,Lua,HTML,R,Julia,C",2.585,C,11,0.831,0.28,0.273,80,0.785,3.15,4.4857,0.0108,9.25,1,0,1,22,597,54,0.3994,2,0
dev_4941,1280,186.0,3,33,7.0,14.0,137.0,"CSS,HTML,Java,Python,Kotlin,TypeScript,Shell,JavaScript",3.0,CSS,3,0.897,0.346,0.0,7,0.309,1.35,0.8914,0.2794,3.5,1,0,1,78,104,15,0.2526,0,3
ywalker,2070,2050.0,514,7,0.0,0.0,118.0,"Scala,HTML,PHP,C++,Dart,Python,Haskell,Swift",3.0,Scala,6,0.269,0.74,0.332,31,0.618,1.83,-1.8482,-0.0091,5.67,1,1,0,38,24,60,0.3664,1,20
ymyers,1262,266.0,77,13,19.0,0.0,20.0,"HTML,Ruby,C#,Python,JavaScript",2.3219,HTML,3,0.492,0.511,0.148,42,0.167,2.18,-5.1354,0.1264,3.46,0,0,0,0,41,0,0.2515,0,7
seth58,1282,52.0,9,22,9.0,1.0,18.0,"SQL,Scala,C++,C,Python,Haskell",2.585,Python,4,0.537,0.088,0.391,28,0.525,2.07,-0.5074,0.0462,3.51,0,0,0,0,910,14,0.2957,1,15
